model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,delta_vs_integer_pp
Logistic Regression - Integer Codes,0.9110192837465565,0.012074163636810548,0.9300408342258377,0.018595759508034496,0.8360533832364817,0.030067531766765552,0.8801270840760008,0.01762301962436158,0.9528034020660368,0.003973865904651245,0.0
Logistic Regression - One-Hot,0.9110192837465565,0.008628352486702935,0.9255288230638161,0.018402194711683712,0.8409829607012705,0.025422420119916172,0.8808193069748315,0.012615622996310269,0.9539800728005895,0.005378520002065657,0.069
SVM - One-Hot,0.9107438016528926,0.014165245324718951,0.9429394976100778,0.02826758618219488,0.8226878755047767,0.02844299942319179,0.8782153262039696,0.019464224924128967,0.9541577737619764,0.007531092515953062,1.113
SVM - Integer Codes,0.903305785123967,0.009735866141637607,0.9397646024880263,0.027796599416052323,0.8057913917068846,0.02319413397540838,0.8670817219022385,0.013035723291969909,0.9503923815884349,0.008463270589969625,0.0
