model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,f1_difference_vs_pipeline_pp,top_features,interpretation
Global MI Top-10 before CV,0.8889807162534435,0.013831834942846477,0.8796993126205488,0.029549440380467695,0.831113956466069,0.015950739877901084,0.8544079789261172,0.016613271193191163,0.9361810291839667,0.0066030244942519856,-0.09,"Curricular units 2nd sem (approved), Curricular units 1st sem (approved), Curricular units 2nd sem (grade), Curricular units 1st sem (grade), Tuition fees up to date, Curricular units 2nd sem (evaluations), Curricular units 1st sem (evaluations), Age at enrollment, Scholarship holder, Gender",Potential optimistic bias vs leakage-free pipeline: -0.09 percentage points.
Pipeline SelectKBest per fold,0.8933884297520661,0.020617032773628283,0.9114692633224909,0.02984776172516141,0.8064759184477494,0.03768353888834064,0.8553073654117519,0.028827518466348342,0.9391797977574132,0.0058639902081188775,0.0,Selected independently inside each training fold,Leakage-free reference estimate.
