model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
SVM,0.8950413223140495,0.012036392437990899,0.9155956547808636,0.023635883875799676,0.807194917758298,0.03156324015168439,0.8573839855410277,0.017621054426438316,0.9311813820735264,0.013929552570155528
Random Forest,0.8931129476584022,0.011074243108673165,0.8982328162486416,0.028458061699344162,0.8212794248005517,0.02377887822807778,0.8574823056555017,0.014307622718256332,0.9382613539582358,0.00957558498394201
Logistic Regression,0.8889807162534435,0.013831834942846477,0.8796993126205488,0.029549440380467695,0.831113956466069,0.015950739877901084,0.8544079789261172,0.016613271193191163,0.9361810291839667,0.0066030244942519856
kNN,0.8790633608815428,0.013743768246023622,0.8918734320987165,0.024901751555827037,0.7874815325519551,0.037716476528571866,0.8356682632096792,0.021267934298013373,0.9186897236980087,0.013864717654758567
Naive Bayes,0.8504132231404957,0.021623150912606505,0.8874831210778702,0.03286756382493556,0.7079483896385305,0.04062963445218501,0.787093980102713,0.032740339206409265,0.9141470685674948,0.010343581520271969
Decision Tree,0.8429752066115703,0.012196112187977204,0.7924001450850714,0.012402009481103699,0.811425194523786,0.02328397306224372,0.8017103185531542,0.016436254813544188,0.8448122377359027,0.013865264866354955
