model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.9110192837465565,0.012074163636810548,0.9300408342258377,0.018595759508034496,0.8360533832364817,0.030067531766765552,0.8801270840760008,0.01762301962436158,0.9528034020660368,0.003973865904651245
Random Forest,0.9082644628099172,0.018316969928241635,0.9323379116828392,0.025590996357879318,0.8262139269181523,0.041356555542367314,0.8754056232726372,0.026688988902354868,0.9514112646034392,0.006139553546834008
SVM,0.903305785123967,0.009735866141637607,0.9397646024880263,0.027796599416052323,0.8057913917068846,0.02319413397540838,0.8670817219022385,0.013035723291969909,0.9503923815884349,0.008463270589969625
Decision Tree,0.8561983471074381,0.011210462782025253,0.8044251390650377,0.01929785019090979,0.8367329853245347,0.022894107117950126,0.8199641578017273,0.013988139134870068,0.8527278665824648,0.011869065915248866
kNN,0.8520661157024794,0.013721663256652658,0.911889649168313,0.02859047137761267,0.6896730030532847,0.03320952504070239,0.7846461399638943,0.021928076710659578,0.8980632828420356,0.013136234609728426
Naive Bayes,0.8391184573002756,0.016399863433760025,0.832578296734708,0.028728418796276307,0.7382300797793755,0.026676569729625472,0.7822228595886556,0.022088719482139144,0.8905040500660746,0.013117820807768138
